"geneSym","LTM_ori","LTM_abs"
"ATRN",-0.787855823168089,0.787855823168089
"RWDD3 /// TMEM56-RWDD3",0.787739736499666,0.787739736499666
"SETDB2",0.787710456216746,0.787710456216746
"ST13 /// ST13P4",-0.787561732420385,0.787561732420385
"NPDC1",0.787504146894077,0.787504146894077
"LOC101060389 /// TBC1D3 /// TBC1D3B /// TBC1D3C /// TBC1D3E /// TBC1D3F /// TBC1D3G /// TBC1D3H /// TBC1D3I /// TBC1D3J /// TBC1D3K /// TBC1D3L",0.787269577052013,0.787269577052013
"ARSG",-0.787011780411466,0.787011780411466
"CEP162",0.787005821723221,0.787005821723221
"ZMYM6NB",-0.786938086082287,0.786938086082287
"TRAK1",0.786625222420778,0.786625222420778
"GPT2",-0.786403558429585,0.786403558429585
"C10orf88",-0.786068884705523,0.786068884705523
"PCOLCE",-0.785923456831827,0.785923456831827
"ZNF621",0.785892911071234,0.785892911071234
"TAF9B",-0.78582508949446,0.78582508949446
"KLF9",-0.785794992440202,0.785794992440202
"STS",0.78576926021293,0.78576926021293
"PLCB3",0.785640391350181,0.785640391350181
"ZNF142",-0.78493958940689,0.78493958940689
"IDNK",-0.784123773150739,0.784123773150739
"RCBTB1",0.783977912234788,0.783977912234788
"POLR2J2 /// POLR2J3 /// UPK3BL",-0.783557605581539,0.783557605581539
"PRPF6",-0.783221712396557,0.783221712396557
"WASF2",-0.782459713718001,0.782459713718001
"CTPS1",-0.782182582280601,0.782182582280601
"PDK4",-0.781940742532142,0.781940742532142
"SLC38A10",-0.780891188860331,0.780891188860331
"NEK2",0.780804511982089,0.780804511982089
"RAD51L3-RFFL /// RFFL",0.780795905247921,0.780795905247921
"NTRK2",-0.780763965461622,0.780763965461622
"IFT172",-0.780219407096942,0.780219407096942
"DUSP16",0.779873081406351,0.779873081406351
"P4HTM",0.779601470897386,0.779601470897386
"SERPINB2",0.77937410518896,0.77937410518896
"SERPINB1",-0.77932753020262,0.77932753020262
"C12orf76",0.779103561743811,0.779103561743811
"ZNF181 /// ZNF302 /// ZNF807",0.779102790942171,0.779102790942171
"DLGAP5",0.778894766314265,0.778894766314265
"SLC35E4",0.778734196827498,0.778734196827498
"CRLS1",0.778552515283585,0.778552515283585
"LOC100129518 /// SOD2",-0.77852436793198,0.77852436793198
"TAF3",0.777683960874603,0.777683960874603
"FUOM",-0.777569427431153,0.777569427431153
"ZNF234",0.777543253748028,0.777543253748028
"TUSC3",-0.777052914002707,0.777052914002707
"ATPAF2",0.776912036028054,0.776912036028054
"FN3KRP",-0.776776974645435,0.776776974645435
"SLC7A6OS",0.776651972181494,0.776651972181494
"DCUN1D2",-0.776615723118316,0.776615723118316
"RAP1B /// RAP1BL",-0.776482630645436,0.776482630645436
